
Prospect Name,Company,Title,LinkedIn URL,1-line Role Summary,Specific Detail,Hypothesized Pain
Erez Binia,VAST Data,QA Architect,https://www.linkedin.com/search/results/all/?keywords=Erez%20Binia%20VAST%20Data,QA architect at VAST Data focusing on data storage and AI/ML workloads,Many years at VAST Data; previously at Kaminario managing QA and support,Long regression cycles and brittle test suites as architectures evolve; need to expand coverage and reduce maintenance time
Stuart Quine,N-able,Director - DevOps,https://www.linkedin.com/search/results/all/?keywords=Stuart%20Quine%20N-able,Director of DevOps at N-able overseeing pipelines and reliability for MSP security solutions,Nearly two decades of experience including roles at SolarWinds and Mastercard,"Maintaining fast, reliable pipelines while ensuring product quality for MSP security and endpoint management solutions"
Hem Singh,Silicon Labs,QA Engineering Manager,https://www.linkedin.com/search/results/all/?keywords=Hem%20Singh%20Silicon%20Labs,"QA engineering manager at Silicon Labs leading wireless, networking and IoT device testing",Former principal engineer at VDN Technologies and Volansys; led QA at OnePlus,Increasing automation coverage for new wireless products; reducing manual testing effort and shortening certification cycles
Rafaela Robertson,Netflix,Software Engineering Manager,https://www.linkedin.com/search/results/all/?keywords=Rafaela%20Robertson%20Netflix,"Software engineering manager at Netflix working on security, GenAI and live streaming features",Past engineering leadership at Brex and StockX; mentor for Latinas in tech,Expanding GenAI and live streaming features while maintaining security and coverage; need to reduce flakiness and accelerate releases
Khyati Sheth,Tesla,Engineering Manager,https://www.linkedin.com/search/results/all/?keywords=Khyati%20Sheth%20Tesla,Engineering manager at Tesla overseeing software development for EV and energy products,Progressed from senior software engineer to staff engineer and now manager over more than a decade,Managing multiple high-visibility projects and complex test environments; need to reduce manual QA and increase automation coverage
Jaldhi Valia,ServiceTitan,"Sr. Director of Software Engineering, Infrastructure",https://www.linkedin.com/search/results/all/?keywords=Jaldhi%20Valia%20ServiceTitan,Senior Director of Software Engineering – Infrastructure & Platform Engineering at ServiceTitan,"Leading Site Reliability, Infrastructure & Platform Engineering; 3+ years at ServiceTitan",Scaling platform reliability and infrastructure while accelerating deployments
Elaine Teoh,Pebl,VP of Software Engineering,https://www.linkedin.com/search/results/all/?keywords=Elaine%20Teoh%20Pebl,Vice President of Engineering at Pebl,Leading software engineering for EOR payroll and HR compliance; ~1 year at Pebl,Building a global payroll and HR compliance platform across multiple regions while maintaining quality
Chris Haag,Cloudflare,Senior Director of Software Engineering,https://www.linkedin.com/search/results/all/?keywords=Chris%20Haag%20Cloudflare,Senior Director of Software Engineering at Cloudflare,Engineering leader responsible for software engineering at Cloudflare; nearly 3 years tenure,"Managing large engineering teams and ensuring secure, reliable releases across a global network"
Michael Rizkalla,Tesla,"Sr. Director of Software Engineering, Vehicle Firmware",https://www.linkedin.com/search/results/all/?keywords=Michael%20Rizkalla%20Tesla,Senior Director of Software Engineering for Vehicle Firmware at Tesla,Oversees vehicle firmware engineering with over 2 years in role,"Delivering frequent, high-quality firmware updates while ensuring safety and reliability"
Jaldhi Valia,ServiceTitan,"Sr. Director of Software Engineering, Infrastructure",https://www.linkedin.com/search/results/all/?keywords=Jaldhi%20Valia%20ServiceTitan,Senior Director of Software Engineering – Infrastructure & Platform Engineering at ServiceTitan,"Leading Site Reliability, Infrastructure & Platform Engineering; 3+ years at ServiceTitan",Scaling platform reliability and infrastructure while accelerating deployments
Elaine Teoh,Pebl,VP of Software Engineering,https://www.linkedin.com/search/results/all/?keywords=Elaine%20Teoh%20Pebl,Vice President of Engineering at Pebl,Leading software engineering for EOR payroll and HR compliance; ~1 year at Pebl,Building a global payroll and HR compliance platform across multiple regions while maintaining quality
Chris Haag,Cloudflare,Senior Director of Software Engineering,https://www.linkedin.com/search/results/all/?keywords=Chris%20Haag%20Cloudflare,Senior Director of Software Engineering at Cloudflare,Engineering leader responsible for software engineering at Cloudflare; nearly 3 years tenure,"Managing large engineering teams and ensuring secure, reliable releases across a global network"
Michael Rizkalla,Tesla,"Sr. Director of Software Engineering, Vehicle Firmware",https://www.linkedin.com/search/results/all/?keywords=Michael%20Rizkalla%20Tesla,Senior Director of Software Engineering for Vehicle Firmware at Tesla,Oversees vehicle firmware engineering with over 2 years in role,"Delivering frequent, high-quality firmware updates while ensuring safety and reliability"
